Rank,Best Rank,Worst Rank,Player Name,Match Up,Injury Alerts
1,1,9,Aaron Rodgers,GB @  ATL,
2,1,8,Philip Rivers,SD @  IND,
3,1,12,Drew Brees,NO @  DAL,
4,1,8,Michael Vick,PHI @  CHI,
5,2,10,Peyton Manning,IND vs.  SD,
6,2,11,Tom Brady,NE @  DET,Probable: Foot
7,1,14,Ben Roethlisberger,PIT @  BUF,
8,4,14,Kyle Orton,DEN vs.  STL,
9,4,16,Eli Manning,NYG vs.  JAC,
10,8,22,Joe Flacco,BAL vs.  TB,
11,8,25,Matt Schaub,HOU vs.  TEN,
12,9,27,Mark Sanchez,NYJ vs.  CIN,
13,7,23,Matt Ryan,ATL vs.  GB,
14,7,22,Shaun Hill,DET vs.  NE,Probable: Quadriceps
15,8,23,Matt Cassel,KC @  SEA,
16,13,27,Josh Freeman,TB @  BAL,
17,10,26,Jon Kitna,DAL vs.  NO,
18,5,23,Donovan McNabb,WAS vs.  MIN,Probable: Hamstring
19,12,27,Brett Favre,MIN @  WAS,Probable: Ankle
20,11,26,Jay Cutler,CHI vs.  PHI,
21,16,26,Sam Bradford,STL @  DEN,
22,3,28,Troy Smith,SF @  ARI,
23,11,28,David Garrard,JAC @  NYG,
24,16,32,Carson Palmer,CIN @  NYJ,Questionable: Foot
25,13,29,Ryan Fitzpatrick,BUF vs.  PIT,
26,15,33,Colt McCoy,CLE vs.  CAR,Questionable: Ankle
27,16,32,Jason Campbell,OAK vs.  MIA,
28,17,29,Derek Anderson,ARI vs.  SF,
29,19,25,Matt Hasselbeck,SEA vs.  KC,
30,25,32,Rusty Smith,TEN @  HOU,
31,30,33,Tyler Thigpen,MIA @  OAK,
32,31,39,Jake Delhomme,CLE vs.  CAR,Questionable: Ankle
33,31,36,Brian St. Pierre,CAR @  CLE,Questionable: Shoulder
34,31,35,Jimmy Clausen,CAR @  CLE,Questionable: Concussion
35,32,34,Chad Henne,MIA @  OAK,Questionable: Knee
